Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Evacuaciones por Temperaturas bajo cero en Esquel, Chubut",La región de Esquel en Chubut sufrió los efectos de una intensa temperaturas bajo cero. El incidente dejando varios heridos y daños materiales. Se han habilitado refugios temporales para las familias afectadas.,Temperaturas bajo cero,-42.91939,-71.298764,17/01/2001
"Consecuencias graves tras Emisión volcánica en Azul, Buenos Aires",La región de Azul en Buenos Aires sufrió los efectos de una intensa emisión volcánica. El incidente dejando a varios sectores sin comunicación. Defensa Civil coordina las tareas de asistencia y reconstrucción.,Emisión volcánica,-36.759313,-59.862516,05/06/2016
Autoridades responden a Granizo de gran tamaño en Comodoro Rivadavia,La región de Comodoro Rivadavia en Chubut sufrió los efectos de una intensa granizo de gran tamaño. El incidente dejando varios heridos y daños materiales. Defensa Civil coordina las tareas de asistencia y reconstrucción.,Granizo de gran tamaño,-45.844685,-67.497911,14/05/2012
Temporal de viento provoca emergencia en Barranqueras,La región de Barranqueras en Chaco sufrió los efectos de una intensa temporal de viento. El incidente generando serios daños ambientales en la región. El municipio ha activado el protocolo de emergencias para esta situación.,Temporal de viento,-27.482778,-58.917908,04/08/2003
Serio incidente: Fenómeno de frío intenso en Punta Alta,"Una fenómeno de frío intenso de gran magnitud afectó a Punta Alta, Buenos Aires. El incidente dejando a varios sectores sin comunicación. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Fenómeno de frío intenso,-38.825939,-62.069268,07/04/2004
Habitantes de Eduardo Castex afrontan Crecida de aguas subterráneas,"Una crecida de aguas subterráneas de gran magnitud afectó a Eduardo Castex, La Pampa. El incidente interrumpiendo servicios básicos en toda la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Crecida de aguas subterráneas,-35.950841,-64.308187,23/05/2024
"Nube de ceniza provoca emergencia en San Fernando del Valle de Catamarca, Catamarca","Una nube de ceniza de gran magnitud afectó a San Fernando del Valle de Catamarca, Catamarca. El incidente afectando el normal desarrollo de actividades en la zona. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Nube de ceniza,-28.517165,-65.759512,18/05/2001
Récord histórico de calor deja múltiples daños en San Lorenzo,"Severa récord histórico de calor impactó en la localidad de San Lorenzo, Santa Fe. El incidente bloqueando las principales vías de acceso. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Récord histórico de calor,-32.755917,-60.710879,30/12/2007
"Aluvión de tierra y rocas impacta en San Luis, San Luis","Una aluvión de tierra y rocas de gran magnitud afectó a San Luis, San Luis. El incidente dejando un rastro de destrucción importante. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Aluvión de tierra y rocas,-33.284102,-66.375637,13/10/2012
"Habitantes de Rivadavia afrontan Frente tormentoso, San Juan",La región de Rivadavia en San Juan sufrió los efectos de una intensa frente tormentoso. El incidente generando caos en el transporte público y privado. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.,Frente tormentoso,-31.525211,-68.591147,26/03/2018
Helada severa genera crisis en Concepción del Uruguay,"Una helada severa de gran magnitud afectó a Concepción del Uruguay, Entre Ríos. El incidente causando daños en cultivos y producción agrícola. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Helada severa,-32.488508,-58.183488,20/12/2002
Emergencia por Sismo con epicentro local en General Pico,"Una sismo con epicentro local de gran magnitud afectó a General Pico, La Pampa. El incidente dejando a la población incomunicada por varias horas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Sismo con epicentro local,-35.67441,-63.742285,23/11/2001
Tormenta de nieve afecta a Gálvez,"Una tormenta de nieve de gran magnitud afectó a Gálvez, Santa Fe. El incidente dejando a varios sectores sin comunicación. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Tormenta de nieve,-32.016776,-61.236933,17/08/2008
"Quilmes en alerta por Inundación en zona urbana, Buenos Aires",La región de Quilmes en Buenos Aires sufrió los efectos de una intensa inundación en zona urbana. El incidente interrumpiendo servicios básicos en toda la zona. Se ha iniciado una investigación para determinar las causas exactas del incidente.,Inundación en zona urbana,-34.695346,-58.228489,23/03/2017
Equipos de emergencia atienden Tormenta de viento en San Carlos de Bariloche,"Severa tormenta de viento impactó en la localidad de San Carlos de Bariloche, Río Negro. El incidente generando serios daños ambientales en la región. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Tormenta de viento,-41.088498,-71.29277,05/11/2010
Evacuaciones por Ráfagas de más de 100 km/h en Jesús María,"Una ráfagas de más de 100 km/h de gran magnitud afectó a Jesús María, Córdoba. El incidente generando caos en el transporte público y privado. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Ráfagas de más de 100 km/h,-30.965815,-64.063266,16/11/2018
Habitantes de Pico Truncado afrontan Nevada extrema,"Severa nevada extrema impactó en la localidad de Pico Truncado, Santa Cruz. El incidente obligando a evacuar a residentes de la zona. Se han habilitado refugios temporales para las familias afectadas.",Nevada extrema,-46.748858,-67.933245,28/07/2008
"Devastador Escasez de agua afecta a Puerto San Julián, Santa Cruz",La región de Puerto San Julián en Santa Cruz sufrió los efectos de una intensa escasez de agua. El incidente provocando cortes de energía y problemas en el suministro de agua. Los servicios médicos están atendiendo a los afectados en hospitales locales.,Escasez de agua,-49.280992,-67.684708,18/07/2014
"Confirman Crecida de aguas subterráneas de gran magnitud en Tandil, Buenos Aires",La región de Tandil en Buenos Aires sufrió los efectos de una intensa crecida de aguas subterráneas. El incidente interrumpiendo servicios básicos en toda la zona. Los servicios médicos están atendiendo a los afectados en hospitales locales.,Crecida de aguas subterráneas,-37.281416,-59.1372,19/08/2010
Devastador Temporal afecta a Quilmes,"Severa temporal impactó en la localidad de Quilmes, Buenos Aires. El incidente causando pérdidas millonarias y afectando a cientos de personas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Temporal,-34.746819,-58.282478,19/07/2011
Fenómeno de frío intenso sorprende a habitantes de Morón,La región de Morón en Buenos Aires sufrió los efectos de una intensa fenómeno de frío intenso. El incidente resultando en el cierre temporal de escuelas y comercios. La población ha sido alertada para tomar precauciones adicionales.,Fenómeno de frío intenso,-34.693413,-58.599028,07/04/2011
"Se reporta Frío extremo en zona de Tinogasta, Catamarca",La región de Tinogasta en Catamarca sufrió los efectos de una intensa frío extremo. El incidente provocando pánico entre los residentes locales. Bomberos y personal de seguridad trabajan intensamente en la zona.,Frío extremo,-28.089223,-67.592141,18/03/2016
Autoridades responden a Emergencia por altas temperaturas en Rosario,La región de Rosario en Santa Fe sufrió los efectos de una intensa emergencia por altas temperaturas. El incidente dejando a la población incomunicada por varias horas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.,Emergencia por altas temperaturas,-32.920676,-60.643239,03/01/2024
Equipos de emergencia atienden Desborde de arroyo en Pico Truncado,La región de Pico Truncado en Santa Cruz sufrió los efectos de una intensa desborde de arroyo. El incidente causando pérdidas millonarias y afectando a cientos de personas. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.,Desborde de arroyo,-46.758489,-67.922357,02/03/2008
Preocupación por Escasez de agua en Goya,"Severa escasez de agua impactó en la localidad de Goya, Corrientes. El incidente generando serios daños ambientales en la región. Se han habilitado refugios temporales para las familias afectadas.",Escasez de agua,-29.096983,-59.217581,31/07/2016
Tafí Viejo afectado por Contaminación por ceniza volcánica,La región de Tafí Viejo en Tucumán sufrió los efectos de una intensa contaminación por ceniza volcánica. El incidente afectando el normal desarrollo de actividades en la zona. Autoridades nacionales se han puesto a disposición para brindar asistencia.,Contaminación por ceniza volcánica,-26.722964,-65.25448,26/06/2024
"Desborde de río sorprende a habitantes de La Banda, Santiago del Estero","Severa desborde de río impactó en la localidad de La Banda, Santiago del Estero. El incidente interrumpiendo servicios básicos en toda la zona. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desborde de río,-27.68385,-64.265679,23/11/2018
n,"Severa vientos con fuerza ciclónica impactó en la localidad de Tunuyán, Mendoza. El incidente causando daños en cultivos y producción agrícola. Se han habilitado refugios temporales para las familias afectadas.",Vientos con fuerza ciclónica,-33.543039,-69.047393,17/08/2006
Evacuaciones por Temporal en Palermo,"Severa temporal impactó en la localidad de Palermo, CABA. El incidente provocando pánico entre los residentes locales. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Temporal,-34.541182,-58.378206,15/12/2003
"Tormenta eléctrica sorprende a habitantes de Monteros, Tucumán","Severa tormenta eléctrica impactó en la localidad de Monteros, Tucumán. El incidente provocando pánico entre los residentes locales. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Tormenta eléctrica,-27.190354,-65.496891,21/04/2011
Situación crítica por Crecida histórica en Maipú,La región de Maipú en Mendoza sufrió los efectos de una intensa crecida histórica. El incidente provocando la activación de protocolos de emergencia. Se ha declarado estado de emergencia en la región para facilitar la asistencia.,Crecida histórica,-32.926222,-68.786493,20/06/2005
n de Aguilares en Tucumán sufrió los efectos de una intensa emergencia por altas temperaturas. El incidente provocando cortes de energía y problemas en el suministro de agua. Equipos de rescate continúan buscando posibles víctimas.,Emergencia por altas temperaturas,-27.476721,-65.614735,07/02/2016
"Alerta por Granizo de gran tamaño en Bell Ville, Córdoba",La región de Bell Ville en Córdoba sufrió los efectos de una intensa granizo de gran tamaño. El incidente generando caos en el transporte público y privado. El municipio ha activado el protocolo de emergencias para esta situación.,Granizo de gran tamaño,-32.615939,-62.638772,27/06/2014
Esquel en alerta por Fuego en área protegida,La región de Esquel en
"Villa Regina en alerta por Tormenta tropical, Río Negro","Una tormenta tropical de gran magnitud afectó a Villa Regina, Río Negro. El incidente obligando a evacuar a residentes de la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Tormenta tropical,-39.082245,-67.076925,21/06/2008
Neuquén sufre las consecuencias de Evento sísmico,"Severa evento sísmico impactó en la localidad de Neuquén, Neuquén. El incidente causando pérdidas millonarias y afectando a cientos de personas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Evento sísmico,-38.959078,-68.0866,13/09/2007
Autoridades responden a Tormenta con piedras de granizo en Villa Ángela,"Severa tormenta con piedras de granizo impactó en la localidad de Villa Ángela, Chaco. El incidente dejando a la población incomunicada por varias horas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Tormenta con piedras de granizo,-27.593537,-60.743947,17/12/2020
"Emergencia por sequía sorprende a habitantes de Victorica, La Pampa",La región de Victorica en La Pampa sufrió los efectos de una intensa emergencia por sequía. El incidente causando pérdidas millonarias y afectando a cientos de personas. Bomberos y personal de seguridad trabajan intensamente en la zona.,Emergencia por sequía,-36.216018,-65.477307,21/06/2010
Gálvez afectado por Vendaval,La región de Gálvez en Santa Fe sufrió los efectos de una intensa vendaval. El incidente afectando el normal desarrollo de actividades en la zona. Se han habilitado refugios temporales para las familias afectadas.,Vendaval,-32.07072,-61.198945,09/01/2008
Alerta por Polvo volcánico en suspensión en Chilecito,La región de Chilecito en La Rioja sufrió los efectos de una intensa polvo volcánico en suspensión. El incidente provocando pánico entre los residentes locales. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.,Polvo volcánico en suspensión,-29.179822,-67.502995,12/01/2022
Se reporta Calor extremo en zona de San Lorenzo,"Severa calor extremo impactó en la localidad de San Lorenzo, Santa Fe. El incidente provocando la activación de protocolos de emergencia. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Calor extremo,-32.762182,-60.757617,06/06/2005
Declaran emergencia tras Precipitación de granizo en Eduardo Castex,La región de Eduardo Castex en La Pampa sufrió los efectos de una intensa precipitación de granizo. El incidente destruyendo viviendas y dejando a familias evacuadas. El intendente local se ha trasladado al lugar para supervisar las operaciones.,Precipitación de granizo,-35.869688,-64.260624,04/11/2021
"Tigre afectado por Desprendimiento de ladera, Buenos Aires","Una desprendimiento de ladera de gran magnitud afectó a Tigre, Buenos Aires. El incidente dejando a varios sectores sin comunicación. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desprendimiento de ladera,-34.394393,-58.56006,01/06/2001
"Barranqueras afectado por Nevada extrema, Chaco","Severa nevada extrema impactó en la localidad de Barranqueras, Chaco. El incidente generando serios daños ambientales en la región. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Nevada extrema,-27.535801,-58.931541,18/08/2009
"Habitantes de Cañada de Gómez afrontan Granizo de gran tamaño, Santa Fe","Severa granizo de gran tamaño impactó en la localidad de Cañada de Gómez, Santa Fe. El incidente provocando la activación de protocolos de emergencia. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Granizo de gran tamaño,-32.828462,-61.439806,27/06/2016
Trenque Lauquen afectado por Contaminación por ceniza volcánica,"Una contaminación por ceniza volcánica de gran magnitud afectó a Trenque Lauquen, Buenos Aires. El incidente bloqueando las principales vías de acceso. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Contaminación por ceniza volcánica,-36.02064,-62.690122,26/11/2012
"Serio incidente: Copiosa caída de nieve en Zapala, Neuquén","Severa copiosa caída de nieve impactó en la localidad de Zapala, Neuquén. El incidente generando caos en el transporte público y privado. La población ha sido alertada para tomar precauciones adicionales.",Copiosa caída de nieve,-38.934713,-70.065549,15/09/2020
"Serio incidente: Emergencia por altas temperaturas en Ushuaia, Tierra del Fuego","Una emergencia por altas temperaturas de gran magnitud afectó a Ushuaia, Tierra del Fuego. El incidente interrumpiendo servicios básicos en toda la zona. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Emergencia por altas temperaturas,-54.793701,-68.352764,21/01/2001
Situación crítica por Nevada histórica en Villa María,"Una nevada histórica de gran magnitud afectó a Villa María, Córdoba. El incidente generando serios daños ambientales en la región. Bomberos y personal de seguridad trabajan intensamente en la zona.",Nevada histórica,-32.368477,-63.265866,21/06/2002
Habitantes de Reconquista afrontan Copiosa caída de nieve,"Una copiosa caída de nieve de gran magnitud afectó a Reconquista, Santa Fe. El incidente provocando la activación de protocolos de emergencia. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Copiosa caída de nieve,-29.147704,-59.659582,16/02/2004
"Devastador Alud afecta a Villa Carlos Paz, Córdoba",La región de Villa Carlos Paz en Córdoba sufrió los efectos de una intensa alud. El incidente provocando la activación de protocolos de emergencia. Técnicos trabajan para restablecer los servicios básicos lo antes posible.,Alud,-31.391214,-64.4876,27/01/2007
Aristóbulo del Valle sufre las consecuencias de Helada fuera de temporada,"Severa helada fuera de temporada impactó en la localidad de Aristóbulo del Valle, Misiones. El incidente obligando a evacuar a residentes de la zona. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Helada fuera de temporada,-27.055614,-54.897013,06/07/2020
"Tormenta severa genera crisis en Apóstoles, Misiones","Severa tormenta severa impactó en la localidad de Apóstoles, Misiones. El incidente provocando cortes de energía y problemas en el suministro de agua. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Tormenta severa,-27.930037,-55.799984,29/05/2002
"Habitantes de Gálvez afrontan Tormenta con piedras de granizo, Santa Fe",La región de Gálvez en Santa Fe sufrió los efectos de una intensa tormenta con piedras de granizo. El incidente afectando el normal desarrollo de actividades en la zona. Equipos de rescate continúan buscando posibles víctimas.,Tormenta con piedras de granizo,-31.992988,-61.192796,19/11/2017
Lluvia de hielo afecta a Tandil,"Severa lluvia de hielo impactó en la localidad de Tandil, Buenos Aires. El incidente bloqueando las principales vías de acceso. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Lluvia de hielo,-37.291325,-59.127059,14/04/2005
"Emergencia por Crisis hídrica en Puerto San Julián, Santa Cruz","Severa crisis hídrica impactó en la localidad de Puerto San Julián, Santa Cruz. El incidente bloqueando las principales vías de acceso. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Crisis hídrica,-49.270784,-67.684347,26/11/2005
"Consecuencias graves tras Tormenta de viento en Tartagal, Salta",La región de Tartagal en Salta sufrió los efectos de una intensa tormenta de viento. El incidente provocando cortes de energía y problemas en el suministro de agua. Técnicos trabajan para restablecer los servicios básicos lo antes posible.,Tormenta de viento,-22.479707,-63.796411,29/03/2015
Casilda afectado por Temporal,"Una temporal de gran magnitud afectó a Casilda, Santa Fe. El incidente con un saldo inicial de varias personas heridas. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Temporal,-33.067928,-61.156332,01/07/2018
Sequía con pérdidas agrícolas sorprende a habitantes de Zapala,"Una sequía con pérdidas agrícolas de gran magnitud afectó a Zapala, Neuquén. El incidente dejando varios heridos y daños materiales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Sequía con pérdidas agrícolas,-38.868523,-70.010309,21/12/2015
"Confirman Fenómeno de calor intenso de gran magnitud en Puerto Iguazú, Misiones",La región de Puerto Iguazú en Misiones sufrió los efectos de una intensa fenómeno de calor intenso. El incidente provocando pánico entre los residentes locales. La población ha sido alertada para tomar precauciones adicionales.,Fenómeno de calor intenso,-25.574713,-54.535902,09/10/2022
"Evacuaciones por Avalancha de lodo en Frías, Santiago del Estero",La región de Frías en Santiago del Estero sufrió los efectos de una intensa avalancha de lodo. El incidente generando serios daños ambientales en la región. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.,Avalancha de lodo,-28.651822,-65.107238,07/10/2014
"Granizada destructiva sorprende a habitantes de Clorinda, Formosa",La región de Clorinda en Formosa sufrió los efectos de una intensa granizada destructiva. El incidente dejando un rastro de destrucción importante. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.,Granizada destructiva,-25.248282,-57.68653,19/10/2006
Alerta por Alud en San Vicente,La región de San Vicente en Misiones sufrió los efectos de una intensa alud. El incidente dejando a varios sectores sin comunicación. El intendente local se ha trasladado al lugar para supervisar las operaciones.,Alud,-27.043086,-54.461276,23/10/2017
Olavarría afectado por Ventisca con nieve,"Severa ventisca con nieve impactó en la localidad de Olavarría, Buenos Aires. El incidente generando serios daños ambientales en la región. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Ventisca con nieve,-36.84745,-60.306336,16/07/2002
"Inundación por lluvias intensas sorprende a habitantes de Apóstoles, Misiones","Una inundación por lluvias intensas de gran magnitud afectó a Apóstoles, Misiones. El incidente generando preocupación entre autoridades provinciales. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Inundación por lluvias intensas,-27.960269,-55.746345,29/08/2015
"Emergencia por Congelamiento en Paraná, Entre Ríos","Una congelamiento de gran magnitud afectó a Paraná, Entre Ríos. El incidente generando serios daños ambientales en la región. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Congelamiento,-31.743856,-60.49865,28/11/2019
"Helada severa sorprende a habitantes de San Juan, San Juan",La región de San Juan en San Juan sufrió los efectos de una intensa helada severa. El incidente dejando a varios sectores sin comunicación. Los servicios médicos están atendiendo a los afectados en hospitales locales.,Helada severa,-31.554999,-68.572991,06/04/2020
"Equipos de emergencia atienden Sequía con pérdidas agrícolas en Alta Gracia, Córdoba","Una sequía con pérdidas agrícolas de gran magnitud afectó a Alta Gracia, Córdoba. El incidente afectando el normal desarrollo de actividades en la zona. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Sequía con pérdidas agrícolas,-31.63987,-64.406176,18/02/2012
Rawson sufre las consecuencias de Incendio forestal,"Una incendio forestal de gran magnitud afectó a Rawson, Chubut. El incidente interrumpiendo servicios básicos en toda la zona. Se ha establecido un centro de operaciones para coordinar las ayudas.",Incendio forestal,-43.265689,-65.142233,16/12/2024
"Confirman Fenómeno de frío intenso de gran magnitud en Río Tercero, Córdoba","Una fenómeno de frío intenso de gran magnitud afectó a Río Tercero, Córdoba. El incidente dejando a varios sectores sin comunicación. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Fenómeno de frío intenso,-32.192286,-64.076993,11/07/2007
Consecuencias graves tras Emergencia por sequía en Venado Tuerto,La región de Venado Tuerto en Santa Fe sufrió los efectos de una intensa emergencia por sequía. El incidente bloqueando las principales vías de acceso. Técnicos trabajan para restablecer los servicios básicos lo antes posible.,Emergencia por sequía,-33.706843,-61.942707,09/11/2010
Andalgalá en alerta por Tormenta de granizo,"Una tormenta de granizo de gran magnitud afectó a Andalgalá, Catamarca. El incidente dejando a la población incomunicada por varias horas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Tormenta de granizo,-27.554831,-66.348907,20/03/2022
"Habitantes de San Nicolás afrontan Tormenta de viento, Buenos Aires","Una tormenta de viento de gran magnitud afectó a San Nicolás, Buenos Aires. El incidente resultando en el cierre temporal de escuelas y comercios. Se han habilitado refugios temporales para las familias afectadas.",Tormenta de viento,-33.323077,-60.235524,28/11/2016
